doi,article_id,alternateIdentifier,objectid,title,date,object_locatio,creators_list,creators_card,authors,creator01_display,creator01_name_last,creator01_name_first,creator01_affiliation,creator01_orcid,creator02_display,creator02_name_last,creator02_name_first,creator02_affiliation,creator02_orcid,creator03_display,creator03_name_last,creator03_name_first,creator03_affiliation,creator03_orcid,description,keywords,categories,language,license,license_url,citation,display_template
https://www.doi.org/000000/00000000,,,kw-prompting,Prompting,2026-01-01,/pages/keywords/kw-prompting.md,"Qianjin Marina Zhang (University of Iowa) <a href=""https://orcid.org/0000-0003-0738-9357"" target=""_blank""><img src=""../assets/img/logo_orcid.svg"" alt=""orcid logo""></a>",Zhang,"Zhang, Qianjin Marina","Qianjin Marina Zhang (University of Iowa) <a href=""https://orcid.org/0000-0003-0738-9357"" target=""_blank""><img src=""../assets/img/logo_orcid.svg"" alt=""orcid logo""></a>",Zhang,Qianjin Marina,University of Iowa,0000-0003-0738-9357,,,,,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer sollicitudin, lorem consequat ultricies iaculis, enim ante ultricies tellus, tempus sodales lorem augue lacinia mi. Donec lectus magna, aliquam vel aliquet quis, tristique a nunc. Aliquam facilisis, nunc viverra porttitor eleifend, lectus massa sagittis purus, ac pretium sem mauris a ex. Vestibulum vel venenatis mi, nec tempus ante. Praesent et porta ex. Morbi pellentesque malesuada lacinia. Donec sollicitudin ex at porta consequat. Nam tempor congue quam quis tempus. Vivamus porttitor tortor eget dignissim consectetur. Aenean vulputate tincidunt purus.",prompting,Information And Computing Sciences: Data Structures,English,CC BY,https://creativecommons.org/licenses/by/4.0/,"Zhang, Qianjin Marina. ""Prompting."" 2026. . Indexed in the Project on Open and Evolving Metaliteracies, Carnegie Mellon University Libraries. DOI: https://www.doi.org/000000/00000000. CC BY.",keyword
https://www.doi.org/000000/00000000,,,kw-sustainability,Sustainability,2026-01-01,/pages/keywords/kw-sustainability.md,Example Name (Test),Name,"Name, Example",Example Name (Test),Name,Example,Test,,,,,,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer sollicitudin, lorem consequat ultricies iaculis, enim ante ultricies tellus, tempus sodales lorem augue lacinia mi. Donec lectus magna, aliquam vel aliquet quis, tristique a nunc. Aliquam facilisis, nunc viverra porttitor eleifend, lectus massa sagittis purus, ac pretium sem mauris a ex. Vestibulum vel venenatis mi, nec tempus ante. Praesent et porta ex. Morbi pellentesque malesuada lacinia. Donec sollicitudin ex at porta consequat. Nam tempor congue quam quis tempus. Vivamus porttitor tortor eget dignissim consectetur. Aenean vulputate tincidunt purus.",sustainability,Social Science: Environment and Resource Economics,English,CC BY,https://creativecommons.org/licenses/by/4.0/,"Name, Example. ""Sustainability."" 2026. . Indexed in the Project on Open and Evolving Metaliteracies, Carnegie Mellon University Libraries. DOI: https://www.doi.org/000000/00000000. CC BY.",keyword
https://www.doi.org/000000/00000000,,,kw-criticaluse,Critical Use,2026-01-01,/pages/keywords/kw-criticaluse.md,Example Name (Test),Name,"Name, Example",Example Name (Test),Name,Example,Test,,,,,,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer sollicitudin, lorem consequat ultricies iaculis, enim ante ultricies tellus, tempus sodales lorem augue lacinia mi. Donec lectus magna, aliquam vel aliquet quis, tristique a nunc. Aliquam facilisis, nunc viverra porttitor eleifend, lectus massa sagittis purus, ac pretium sem mauris a ex. Vestibulum vel venenatis mi, nec tempus ante. Praesent et porta ex. Morbi pellentesque malesuada lacinia. Donec sollicitudin ex at porta consequat. Nam tempor congue quam quis tempus. Vivamus porttitor tortor eget dignissim consectetur. Aenean vulputate tincidunt purus.",critical use,,English,CC BY,https://creativecommons.org/licenses/by/4.0/,"Name, Example. ""Critical Use."" 2026. . Indexed in the Project on Open and Evolving Metaliteracies, Carnegie Mellon University Libraries. DOI: https://www.doi.org/000000/00000000. CC BY.",keyword
https://www.doi.org/000000/00000000,,,kw-datacreationandcuration,Data Creation And Curation,2026-01-01,/pages/keywords/kw-datacreationandcuration.md,Example Name (Test),Name,"Name, Example",Example Name (Test),Name,Example,Test,,,,,,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer sollicitudin, lorem consequat ultricies iaculis, enim ante ultricies tellus, tempus sodales lorem augue lacinia mi. Donec lectus magna, aliquam vel aliquet quis, tristique a nunc. Aliquam facilisis, nunc viverra porttitor eleifend, lectus massa sagittis purus, ac pretium sem mauris a ex. Vestibulum vel venenatis mi, nec tempus ante. Praesent et porta ex. Morbi pellentesque malesuada lacinia. Donec sollicitudin ex at porta consequat. Nam tempor congue quam quis tempus. Vivamus porttitor tortor eget dignissim consectetur. Aenean vulputate tincidunt purus.",data creation and curation,,English,CC BY,https://creativecommons.org/licenses/by/4.0/,"Name, Example. ""Data Creation And Curation."" 2026. . Indexed in the Project on Open and Evolving Metaliteracies, Carnegie Mellon University Libraries. DOI: https://www.doi.org/000000/00000000. CC BY.",keyword
https://www.doi.org/000000/00000000,,,kw-equity,equity,2026-01-01,/pages/keywords/kw-equity.md,Example Name (Test),Name,"Name, Example",Example Name (Test),Name,Example,Test,,,,,,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer sollicitudin, lorem consequat ultricies iaculis, enim ante ultricies tellus, tempus sodales lorem augue lacinia mi. Donec lectus magna, aliquam vel aliquet quis, tristique a nunc. Aliquam facilisis, nunc viverra porttitor eleifend, lectus massa sagittis purus, ac pretium sem mauris a ex. Vestibulum vel venenatis mi, nec tempus ante. Praesent et porta ex. Morbi pellentesque malesuada lacinia. Donec sollicitudin ex at porta consequat. Nam tempor congue quam quis tempus. Vivamus porttitor tortor eget dignissim consectetur. Aenean vulputate tincidunt purus.",equity,,English,CC BY,https://creativecommons.org/licenses/by/4.0/,"Name, Example. ""equity."" 2026. . Indexed in the Project on Open and Evolving Metaliteracies, Carnegie Mellon University Libraries. DOI: https://www.doi.org/000000/00000000. CC BY.",keyword
https://www.doi.org/000000/00000000,,,kw-evaluation,Evaluation,2026-01-01,/pages/keywords/kw-evaluation.md,Example Name (Test),Name,"Name, Example",Example Name (Test),Name,Example,Test,,,,,,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer sollicitudin, lorem consequat ultricies iaculis, enim ante ultricies tellus, tempus sodales lorem augue lacinia mi. Donec lectus magna, aliquam vel aliquet quis, tristique a nunc. Aliquam facilisis, nunc viverra porttitor eleifend, lectus massa sagittis purus, ac pretium sem mauris a ex. Vestibulum vel venenatis mi, nec tempus ante. Praesent et porta ex. Morbi pellentesque malesuada lacinia. Donec sollicitudin ex at porta consequat. Nam tempor congue quam quis tempus. Vivamus porttitor tortor eget dignissim consectetur. Aenean vulputate tincidunt purus.",evaluation,,English,CC BY,https://creativecommons.org/licenses/by/4.0/,"Name, Example. ""Evaluation."" 2026. . Indexed in the Project on Open and Evolving Metaliteracies, Carnegie Mellon University Libraries. DOI: https://www.doi.org/000000/00000000. CC BY.",keyword
https://www.doi.org/000000/00000000,,,kw-geographyandspace,Geography And Space,2026-01-01,/pages/keywords/kw-geographyandspace.md,Example Name (Test),Name,"Name, Example",Example Name (Test),Name,Example,Test,,,,,,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer sollicitudin, lorem consequat ultricies iaculis, enim ante ultricies tellus, tempus sodales lorem augue lacinia mi. Donec lectus magna, aliquam vel aliquet quis, tristique a nunc. Aliquam facilisis, nunc viverra porttitor eleifend, lectus massa sagittis purus, ac pretium sem mauris a ex. Vestibulum vel venenatis mi, nec tempus ante. Praesent et porta ex. Morbi pellentesque malesuada lacinia. Donec sollicitudin ex at porta consequat. Nam tempor congue quam quis tempus. Vivamus porttitor tortor eget dignissim consectetur. Aenean vulputate tincidunt purus.",geography and space,,English,CC BY,https://creativecommons.org/licenses/by/4.0/,"Name, Example. ""Geography And Space."" 2026. . Indexed in the Project on Open and Evolving Metaliteracies, Carnegie Mellon University Libraries. DOI: https://www.doi.org/000000/00000000. CC BY.",keyword
https://www.doi.org/000000/00000000,,,kw-kilthubtest,kilthubtest,2026-01-01,/pages/keywords/kw-kilthubtest.md,Example Name (Test),Name,"Name, Example",Example Name (Test),Name,Example,Test,,,,,,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer sollicitudin, lorem consequat ultricies iaculis, enim ante ultricies tellus, tempus sodales lorem augue lacinia mi. Donec lectus magna, aliquam vel aliquet quis, tristique a nunc. Aliquam facilisis, nunc viverra porttitor eleifend, lectus massa sagittis purus, ac pretium sem mauris a ex. Vestibulum vel venenatis mi, nec tempus ante. Praesent et porta ex. Morbi pellentesque malesuada lacinia. Donec sollicitudin ex at porta consequat. Nam tempor congue quam quis tempus. Vivamus porttitor tortor eget dignissim consectetur. Aenean vulputate tincidunt purus.",kilthubtest,,English,CC BY,https://creativecommons.org/licenses/by/4.0/,"Name, Example. ""kilthubtest."" 2026. . Indexed in the Project on Open and Evolving Metaliteracies, Carnegie Mellon University Libraries. DOI: https://www.doi.org/000000/00000000. CC BY.",keyword
https://www.doi.org/000000/00000000,,,kw-manipulation,Manipulation,2026-01-01,/pages/keywords/kw-manipulation.md,Example Name (Test),Name,"Name, Example",Example Name (Test),Name,Example,Test,,,,,,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer sollicitudin, lorem consequat ultricies iaculis, enim ante ultricies tellus, tempus sodales lorem augue lacinia mi. Donec lectus magna, aliquam vel aliquet quis, tristique a nunc. Aliquam facilisis, nunc viverra porttitor eleifend, lectus massa sagittis purus, ac pretium sem mauris a ex. Vestibulum vel venenatis mi, nec tempus ante. Praesent et porta ex. Morbi pellentesque malesuada lacinia. Donec sollicitudin ex at porta consequat. Nam tempor congue quam quis tempus. Vivamus porttitor tortor eget dignissim consectetur. Aenean vulputate tincidunt purus.",manipulation,,English,CC BY,https://creativecommons.org/licenses/by/4.0/,"Name, Example. ""Manipulation."" 2026. . Indexed in the Project on Open and Evolving Metaliteracies, Carnegie Mellon University Libraries. DOI: https://www.doi.org/000000/00000000. CC BY.",keyword
https://www.doi.org/000000/00000000,,,kw-newsliteracy,News Literacy,2026-01-01,/pages/keywords/kw-newsliteracy.md,Example Name (Test),Name,"Name, Example",Example Name (Test),Name,Example,Test,,,,,,,,,,,,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer sollicitudin, lorem consequat ultricies iaculis, enim ante ultricies tellus, tempus sodales lorem augue lacinia mi. Donec lectus magna, aliquam vel aliquet quis, tristique a nunc. Aliquam facilisis, nunc viverra porttitor eleifend, lectus massa sagittis purus, ac pretium sem mauris a ex. Vestibulum vel venenatis mi, nec tempus ante. Praesent et porta ex. Morbi pellentesque malesuada lacinia. Donec sollicitudin ex at porta consequat. Nam tempor congue quam quis tempus. Vivamus porttitor tortor eget dignissim consectetur. Aenean vulputate tincidunt purus.",news literacy,,English,CC BY,https://creativecommons.org/licenses/by/4.0/,"Name, Example. ""News Literacy."" 2026. . Indexed in the Project on Open and Evolving Metaliteracies, Carnegie Mellon University Libraries. DOI: https://www.doi.org/000000/00000000. CC BY.",keyword
